"","sampledate","totpuf_sloh"
"1",1995-05-09,0.086
"2",1995-05-23,0.081
"3",1995-06-06,0.074
"4",1995-06-21,0.037
"5",1995-07-06,0.042
"6",1995-07-18,0.029
"7",1995-08-02,0.029
"8",1995-08-14,0.024
"9",1995-08-30,0.023
"10",1995-09-11,0.032
"11",1995-09-25,0.059
"12",1995-10-11,0.109
"13",1995-10-25,0.157
"14",1995-11-10,0.144
"15",1995-12-06,0.124
"16",1996-02-06,0.1095
"17",1996-04-09,0.125
"18",1996-04-17,0.123
"19",1996-05-01,0.108
"20",1996-05-14,0.099
"21",1996-05-28,0.109
"22",1996-06-10,0.104
"23",1996-06-26,0.088
"24",1996-07-08,0.065
"25",1996-07-22,0.054
"26",1996-08-05,0.035
"27",1996-08-19,0.024
"28",1996-09-05,0.019
"29",1996-09-16,0.032
"30",1996-10-16,0.104
"31",1996-11-08,0.135
"32",1996-11-25,0.134
"33",1997-01-14,0.1295
"34",1997-02-17,0.1225
"35",1997-04-09,0.154
"36",1997-04-21,0.143
"37",1997-05-02,0.15
"38",1997-05-13,0.128
"39",1997-05-28,0.16
"40",1997-06-11,0.119
"41",1997-06-25,0.068
"42",1997-07-09,0.084
"43",1997-07-24,0.049
"44",1997-08-06,0.042
"45",1997-08-18,0.047
"46",1997-09-02,0.036
"47",1997-10-01,0.104
"48",1997-10-30,0.177
"49",1997-11-30,0.155
"50",1998-02-06,0.1435
"51",1998-03-13,0.137
"52",1998-03-26,0.137
"53",1998-04-10,0.15
"54",1998-04-24,0.172
"55",1998-05-11,0.105
"56",1998-05-28,0.13
"57",1998-06-08,0.089
"58",1998-06-22,0.08
"59",1998-07-06,0.067
"60",1998-07-23,0.053
"61",1998-08-02,0.028
"62",1998-08-18,0.034
"63",1998-09-02,0.02
"64",1998-09-28,0.041
"65",1998-10-27,0.122
"66",1998-11-23,0.162
"67",1999-01-25,0.1335
"68",1999-02-22,0.137
"69",1999-03-29,0.149
"70",1999-04-12,0.113
"71",1999-04-26,0.112
"72",1999-05-10,0.112
"73",1999-05-26,0.109
"74",1999-06-07,0.137
"75",1999-06-21,0.087
"76",1999-07-06,0.064
"77",1999-07-19,0.048
"78",1999-08-02,0.037
"79",1999-08-16,0.041
"80",1999-08-30,0.035
"81",1999-09-27,0.065
"82",1999-10-26,0.135
"83",1999-11-22,0.115
"84",2000-01-24,0.118
"85",2000-02-28,0.114
"86",2000-03-13,0.112
"87",2000-04-10,0.094
"88",2000-04-25,0.079
"89",2000-05-09,0.063
"90",2000-05-22,0.079
"91",2000-06-06,0.096
"92",2000-06-19,0.096
"93",2000-07-03,0.087
"94",2000-07-17,0.045
"95",2000-07-31,0.049
"96",2000-08-16,0.039
"97",2000-08-28,0.153
"98",2000-09-25,0.087
"99",2000-10-24,0.132
"100",2000-11-28,0.137
"101",2001-01-17,0.137
"102",2001-03-07,0.14
"103",2001-04-10,0.111
"104",2001-04-23,0.092
"105",2001-05-07,0.092
"106",2001-05-21,0.092
"107",2001-06-04,0.098
"108",2001-06-18,0.09
"109",2001-07-02,0.064
"110",2001-07-16,0.024
"111",2001-07-30,0.036
"112",2001-08-13,0.037
"113",2001-08-27,0.048
"114",2001-09-26,0.096
"115",2001-10-22,0.147
"116",2001-11-26,0.136
"117",2002-03-28,0.103
"118",2002-04-08,0.098
"119",2002-04-24,0.076
"120",2002-05-06,0.086
"121",2002-05-20,0.097
"122",2002-06-03,0.081
"123",2002-06-18,0.069
"124",2002-07-01,0.033
"125",2002-07-15,0.023
"126",2002-07-26,0.027
"127",2002-08-12,0.023
"128",2002-08-26,0.021
"129",2002-09-23,0.027
"130",2002-10-21,0.126
"131",2002-11-18,0.099
"132",2003-01-21,0.091
"133",2003-04-03,0.083
"134",2003-04-14,0.084
"135",2003-04-28,0.051
"136",2003-05-13,0.068
"137",2003-06-09,0.039
"138",2003-06-23,0.028
"139",2003-07-07,0.023
"140",2003-07-24,0.023
"141",2003-08-04,0.02
"142",2003-08-18,0.02
"143",2003-09-02,0.013
"144",2003-09-29,0.046
"145",2003-10-27,0.129
"146",2003-11-25,0.122
"147",2004-02-03,0.103
"148",2004-03-29,0.154
"149",2004-04-12,0.091
"150",2004-04-28,0.068
"151",2004-05-10,0.081
"152",2004-05-24,0.071
"153",2004-06-07,0.075
"154",2004-06-21,0.062
"155",2004-07-06,0.05
"156",2004-07-19,0.03
"157",2004-08-03,0.023
"158",2004-08-16,0.037
"159",2004-09-07,0.02
"160",2004-10-05,0.069
"161",2004-11-03,0.124
"162",2005-01-31,0.118
"163",2005-04-15,0.146
"164",2005-04-25,0.12
"165",2005-05-09,0.137
"166",2005-05-23,0.108
"167",2005-06-06,0.082
"168",2005-06-20,0.079
"169",2005-07-05,0.052
"170",2005-07-18,0.047
"171",2005-08-01,0.039
"172",2005-08-15,0.023
"173",2005-08-29,0.029
"174",2005-09-26,0.028
"175",2005-11-02,0.162
"176",2005-11-30,0.156
"177",2006-03-06,0.148
"178",2006-04-04,0.143
"179",2006-04-17,0.136
"180",2006-05-02,0.114
"181",2006-05-15,0.12
"182",2006-05-30,0.096
"183",2006-06-12,0.081
"184",2006-06-26,0.058
"185",2006-07-10,0.04
"186",2006-07-24,0.065
"187",2006-08-07,0.031
"188",2006-08-21,0.02
"189",2006-09-06,0.031
"190",2006-10-02,0.09
"191",2006-10-30,0.15
"192",2006-11-27,0.13
"193",2007-01-03,0.13
"194",2007-02-19,0.123
"195",2007-04-02,0.133
"196",2007-04-16,0.124
"197",2007-04-30,0.089
"198",2007-05-14,0.08
"199",2007-05-29,0.078
"200",2007-06-11,0.074
"201",2007-06-25,0.05
"202",2007-07-09,0.031
"203",2007-07-23,0.031
"204",2007-08-06,0.023
"205",2007-08-20,0.026
"206",2007-09-04,0.028
"207",2007-10-01,0.056
"208",2007-10-29,0.143
"209",2007-11-26,0.145
"210",2008-02-13,0.143
"211",2008-04-14,0.137
"212",2008-04-28,0.041
"213",2008-05-12,0.054
"214",2008-05-28,0.074
"215",2008-06-09,0.079
"216",2008-06-23,0.1
"217",2008-07-07,0.065
"218",2008-07-21,0.052
"219",2008-08-04,0.048
"220",2008-08-18,0.036
"221",2008-09-05,0.028
"222",2008-09-29,0.04
"223",2008-10-29,0.156
"224",2009-01-21,0.15
"225",2009-04-15,0.171
"226",2009-04-27,0.207
"227",2009-05-11,0.136
"228",2009-05-28,0.147
"229",2009-06-09,0.113
"230",2009-06-23,0.104
"231",2009-07-06,0.094
"232",2009-07-20,0.076
"233",2009-08-05,0.07
"234",2009-08-19,0.048
"235",2009-09-02,0.063
"236",2009-09-30,0.074
"237",2009-10-28,0.162
"238",2009-12-03,0.149
"239",2010-02-01,0.136
"240",2010-03-29,0.125
"241",2010-04-13,0.067
"242",2010-04-26,0.069
"243",2010-05-10,0.064
"244",2010-05-24,0.07
"245",2010-06-07,0.045
"246",2010-06-21,0.035
"247",2010-07-05,0.041
"248",2010-07-19,0.043
"249",2010-08-03,0.031
"250",2010-08-16,0.033
"251",2010-08-30,0.029
"252",2010-10-05,0.064
"253",2010-11-09,0.096
"254",2011-01-19,0.082
"255",2011-04-18,0.067
"256",2011-05-02,0.079
"257",2011-05-17,0.075
"258",2011-05-31,0.073
"259",2011-06-13,0.067
"260",2011-07-11,0.027
"261",2011-07-25,0.022
"262",2011-08-04,0.017
"263",2011-08-22,0.02
"264",2011-09-12,0.021
"265",2011-10-03,0.085
"266",2011-10-31,0.113
"267",2012-02-22,0.077
"268",2012-03-21,0.074
"269",2012-04-04,0.058
"270",2012-04-17,0.063
"271",2012-05-01,0.067
"272",2012-05-14,0.083
"273",2012-05-29,0.055
"274",2012-06-11,0.041
"275",2012-06-25,0.036
"276",2012-07-10,0.019
"277",2012-07-23,0.02
"278",2012-08-06,0.02
"279",2012-08-20,0.019
"280",2012-09-04,0.017
"281",2012-10-01,0.033
"282",2012-10-29,0.064
"283",2012-11-29,0.093
"284",2013-04-29,0.07
"285",2013-05-14,0.07
"286",2013-05-28,0.06
"287",2013-06-10,0.04
"288",2013-06-24,0.04
"289",2013-07-08,0.03
"290",2013-07-22,0.03
"291",2013-08-05,0.03
"292",2013-08-21,0.02
"293",2013-09-04,0.02
"294",2013-09-30,0.03
"295",2013-10-29,0.09
"296",2013-12-02,0.08
"297",2014-02-03,0.07
"298",2014-04-29,0.09
"299",2014-05-14,0.08
"300",2014-06-09,0.04
"301",2014-06-23,0.03
"302",2014-07-07,0.04
"303",2014-07-21,0.03
"304",2014-08-04,0.03
"305",2014-08-20,0.03
"306",2014-09-02,0.02
"307",2014-10-30,0.09
"308",2015-02-11,0.092
"309",2015-04-10,0.108
"310",2015-04-24,0.092
"311",2015-05-01,0.078
"312",2015-05-13,0.075
"313",2015-05-27,0.057
"314",2015-06-08,0.049
"315",2015-06-23,0.054
"316",2015-07-08,0.039
"317",2015-07-20,0.04
"318",2015-08-03,0.028
"319",2015-08-18,0.022
"320",2015-08-31,0.026
"321",2015-10-07,0.041
"322",2015-11-02,0.098
