lakeid,depth,hp_factor
"AL",0.00,0.0000
"AL",1.00,0.2347
"AL",2.00,0.1938
"AL",3.00,0.1556
"AL",4.00,0.1367
"AL",5.00,0.1180
"AL",6.00,0.0888
"AL",7.00,0.0538
"AL",8.00,0.0186
"BM",0.00,0.0000
"BM",0.50,0.0642
"BM",1.00,0.0603
"BM",1.50,0.0603
"BM",2.00,0.0538
"BM",2.50,0.0539
"BM",3.00,0.0462
"BM",3.50,0.0463
"BM",4.00,0.0430
"BM",4.50,0.0430
"BM",5.00,0.0399
"BM",5.50,0.0400
"BM",6.00,0.0368
"BM",6.50,0.0369
"BM",7.00,0.0332
"BM",7.50,0.0333
"BM",8.00,0.0295
"BM",8.50,0.0295
"BM",9.00,0.0252
"BM",9.50,0.0251
"BM",10.00,0.0213
"BM",10.50,0.0212
"BM",11.00,0.0173
"BM",11.50,0.0177
"BM",12.00,0.0154
"BM",12.50,0.0155
"BM",13.00,0.0131
"BM",13.50,0.0131
"BM",14.00,0.0107
"BM",14.50,0.0108
"BM",15.00,0.0084
"BM",15.50,0.0084
"BM",16.00,0.0063
"BM",16.50,0.0062
"BM",17.00,0.0039
"BM",17.50,0.0040
"BM",18.00,0.0019
"BM",18.50,0.0020
"BM",19.00,0.0008
"BM",19.50,0.0009
"BM",20.00,0.0003
"BM",20.50,0.0002
"BM",21.00,0.0001
"BM",21.30,0.0001
"CB",0.00,0.0000
"CB",0.50,0.2790
"CB",1.50,0.5400
"CB",2.50,0.1810
"CR",0.00,0.0000
"CR",0.50,0.0470
"CR",1.00,0.0454
"CR",1.50,0.0454
"CR",2.00,0.0410
"CR",2.50,0.0411
"CR",3.00,0.0358
"CR",3.50,0.0358
"CR",4.00,0.0344
"CR",4.50,0.0345
"CR",5.00,0.0334
"CR",5.50,0.0334
"CR",6.00,0.0323
"CR",6.50,0.0324
"CR",7.00,0.0314
"CR",7.50,0.0315
"CR",8.00,0.0305
"CR",8.50,0.0305
"CR",9.00,0.0293
"CR",9.50,0.0293
"CR",10.00,0.0275
"CR",10.50,0.0276
"CR",11.00,0.0253
"CR",11.50,0.0253
"CR",12.00,0.0228
"CR",12.50,0.0228
"CR",13.00,0.0201
"CR",13.50,0.0201
"CR",14.00,0.0175
"CR",14.50,0.0175
"CR",15.00,0.0146
"CR",15.50,0.0147
"CR",16.00,0.0123
"CR",16.50,0.0123
"CR",17.00,0.0097
"CR",17.50,0.0098
"CR",18.00,0.0067
"CR",18.50,0.0068
"CR",19.00,0.0042
"CR",19.50,0.0042
"CR",20.00,0.0019
"CR",20.40,0.0019
"LRN",0.00,0.0000
"LRN",1.00,0.2378
"LRN",2.00,0.1937
"LRN",3.00,0.1579
"LRN",4.00,0.1292
"LRN",5.00,0.0990
"LRN",6.00,0.0703
"LRN",7.00,0.0486
"LRN",8.00,0.0332
"LRN",9.00,0.0218
"LRN",10.00,0.0085
"LRS",0.00,0.0000
"LRS",1.00,0.3070
"LRS",2.00,0.2602
"LRS",3.00,0.1977
"LRS",4.00,0.1291
"LRS",5.00,0.0738
"LRS",6.00,0.0323
"SP",0.00,0.0000
"SP",0.50,0.0447
"SP",1.00,0.0427
"SP",1.50,0.0427
"SP",2.00,0.0401
"SP",2.50,0.0401
"SP",3.00,0.0381
"SP",3.50,0.0382
"SP",4.00,0.0367
"SP",4.50,0.0367
"SP",5.00,0.0350
"SP",5.50,0.0350
"SP",6.00,0.0333
"SP",6.50,0.0333
"SP",7.00,0.0313
"SP",7.50,0.0314
"SP",8.00,0.0299
"SP",8.50,0.0299
"SP",9.00,0.0287
"SP",9.50,0.0288
"SP",10.00,0.0266
"SP",10.50,0.0266
"SP",11.00,0.0245
"SP",11.50,0.0245
"SP",12.00,0.0227
"SP",12.50,0.0226
"SP",13.00,0.0208
"SP",13.50,0.0208
"SP",14.00,0.0191
"SP",14.50,0.0191
"SP",15.00,0.0173
"SP",15.50,0.0173
"SP",16.00,0.0135
"SP",16.50,0.0135
"SP",17.00,0.0093
"SP",17.50,0.0093
"SP",18.00,0.0052
"SP",18.50,0.0053
"SP",19.00,0.0024
"SP",19.50,0.0024
"SP",20.00,0.0006
"TB",0.00,0.0000
"TB",1.00,0.2672
"TB",2.00,0.1674
"TB",3.00,0.1526
"TB",4.00,0.1345
"TB",5.00,0.1196
"TB",6.00,0.1000
"TB",7.00,0.0565
"TB",7.90,0.0022
"TR",0.00,0.0000
"TR",0.50,0.0285
"TR",1.00,0.0276
"TR",1.50,0.0276
"TR",2.00,0.0265
"TR",2.50,0.0266
"TR",3.00,0.0255
"TR",3.50,0.0255
"TR",4.00,0.0246
"TR",4.50,0.0246
"TR",5.00,0.0237
"TR",5.50,0.0238
"TR",6.00,0.0230
"TR",6.50,0.0230
"TR",7.00,0.0219
"TR",7.50,0.0219
"TR",8.00,0.0209
"TR",8.50,0.0210
"TR",9.00,0.0200
"TR",9.50,0.0200
"TR",10.00,0.0192
"TR",10.50,0.0193
"TR",11.00,0.0186
"TR",11.50,0.0186
"TR",12.00,0.0179
"TR",12.50,0.0179
"TR",13.00,0.0172
"TR",13.50,0.0172
"TR",14.00,0.0165
"TR",14.50,0.0166
"TR",15.00,0.0158
"TR",15.50,0.0159
"TR",16.00,0.0152
"TR",16.50,0.0152
"TR",17.00,0.0145
"TR",17.50,0.0146
"TR",18.00,0.0139
"TR",18.50,0.0140
"TR",19.00,0.0134
"TR",19.50,0.0134
"TR",20.00,0.0128
"TR",20.50,0.0129
"TR",21.00,0.0123
"TR",21.50,0.0123
"TR",22.00,0.0116
"TR",22.50,0.0116
"TR",23.00,0.0109
"TR",23.50,0.0109
"TR",24.00,0.0101
"TR",24.50,0.0101
"TR",25.00,0.0091
"TR",25.50,0.0092
"TR",26.00,0.0080
"TR",26.50,0.0080
"TR",27.00,0.0069
"TR",27.50,0.0070
"TR",28.00,0.0061
"TR",28.50,0.0062
"TR",29.00,0.0055
"TR",29.50,0.0055
"TR",30.00,0.0049
"TR",30.50,0.0050
"TR",31.00,0.0041
"TR",31.50,0.0042
"TR",32.00,0.0031
"TR",32.50,0.0031
"TR",33.00,0.0020
"TR",33.50,0.0021
"TR",34.00,0.0012
"TR",34.50,0.0012
"TR",35.00,0.0005
"TR",35.70,0.0005
"ME",0.25,0.0388
"ME",1.00,0.0738
"ME",2.00,0.0691
"ME",3.00,0.0650
"ME",4.00,0.0616
"ME",5.00,0.0589
"ME",6.00,0.0568
"ME",7.00,0.0549
"ME",8.00,0.0532
"ME",9.00,0.0515
"ME",10.00,0.0499
"ME",11.00,0.0481
"ME",12.00,0.0459
"ME",13.00,0.0432
"ME",14.00,0.0401
"ME",15.00,0.0368
"ME",16.00,0.0332
"ME",17.00,0.0296
"ME",18.00,0.0257
"ME",19.00,0.0214
"ME",20.00,0.0168
"ME",21.00,0.0120
"ME",22.00,0.0076
"ME",23.00,0.0042
"ME",24.00,0.0016
"ME",25.00,0.0002
"MO",0.25,0.0589
"MO",1.00,0.1090
"MO",2.00,0.0978
"MO",3.00,0.0899
"MO",4.00,0.0839
"MO",5.00,0.0786
"MO",6.00,0.0737
"MO",7.00,0.0688
"MO",8.00,0.0637
"MO",9.00,0.0586
"MO",10.00,0.0526
"MO",11.00,0.0446
"MO",12.00,0.0371
"MO",13.00,0.0301
"MO",14.00,0.0216
"MO",15.00,0.0137
"MO",16.00,0.0081
"MO",17.00,0.0047
"MO",18.00,0.0027
"MO",19.00,0.0014
"MO",20.00,0.0007
"MO",21.00,0.0003
"MO",22.00,0.0053
"L1",0.00,0.0000
"L1",1.00,0.2378
"L1",2.00,0.1937
"L1",3.00,0.1579
"L1",4.00,0.1292
"L1",5.00,0.0990
"L1",6.00,0.0703
"L1",7.00,0.0486
"L1",8.00,0.0332
"L1",9.00,0.0218
"L1",10.00,0.0085
"L2",0.00,0.0000
"L2",1.00,0.3070
"L2",2.00,0.2602
"L2",3.00,0.1977
"L2",4.00,0.1291
"L2",5.00,0.0738
"L2",6.00,0.0323
